arg1,arg2,verb,sentence,verb_stem,label
banks,lend,other,"Rates on short-term Treasury bills wound up little changed , but the rate on federal funds , or reserves that banks lend each other overnight , fell .",lend,0
co.,stepped,attack,"Gillette Co. stepped up its attack on Coniston Partners , a New York investment group seeking four seats on Gillette 's board , saying Coniston acts on behalf of `` a web of as yet unidentified and undisclosed investors , '' including foreigners .",step,1
i,kill,thousands,"As Bismarck wrote more than a century ago: `` I , who prepare to go to war , kill thousands , the Christians in the name of God kill millions . ''",kill,1
we,melt,it,"`` We had to melt it down with hot water , as hot as your head could stand , before we could comb the hair out , '' recalls Jennie Aguilar , a beauty-school instructor in Canoga Park , Calif .",melt,0
steps,fix,problem,But Mr. Sherlund said he thinks the company has taken steps to fix that problem .,fix,1
that,escaped,notice,"Sidney Ganis , president of marketing , says the studio tries to remind Academy members of films that may have escaped notice .",escape,0
it,rains,inches,"`` If it rains three inches , we 'd go down 30 cents , '' said Mickey Luth , a soybean analyst at Shearson Lehman Hutton , Chicago .",rain,1
antics,attack,him,His antics once provoked an elderly ruling-party legislator to attack him with a cane .,attack,0
it,grabbed,%,"It grabbed 21.7 % of U.S. car sales in the first nine months of this year , up from just 16.6 % in all 1981 .",grab,0
airline,flying,flights,Sunworld had recently been operating as a charter airline flying 120 flights a month .,fly,1
fortress,flew,missions,"Although it never saw combat , the Fortress flew photo mapping missions in Europe .",fly,0
study,examined,patients,Immunex said the study examined patients with lymph cancers such as leukemia .,examine,0
snowstorm,struck,south,"A heavy snowstorm struck the South , snarling travel and closing schools as a record cold wave continued in the Midwest and East .",strike,0
money,lent,to,"One branch of Superior Training Services , an Indianapolis-based career-school chain , showed $ 24 million in defaults , or 44 % of the money lent to its students , in a state governments ' study .",lend,0
bank,lend,money,No bank would lend him money .,lend,0
hostess,step,spiel,"If a lot of order-takers are drumming their fingers , the hostess can step up her spiel or drop the price .",step,1
shamir,planting,tree,"Mr. Shamir spent Tu Bishvat planting a tree at a Jewish settlement on the occupied West Bank , where he said he expected the settlement movement to grow and flourish .",plant,0
riney,grabbed,headlines,"Riney grabbed headlines late last year when it resigned as the advertising agency for Modesto , Calif.-based E . & J. Gallo Winery , after a brush with the Gallos .",grab,0
that,killed,people,"The Japanese carrier was shaken in 1985 by a crash of a JAL Boeing 747 that killed 520 people , the worst single-aircraft accident in aviation history , and safety is a central issue in JAL 's current negotiations with several unions .",kill,1
warning,vaporize,part,"First , there will be `` the last warning , '' a Hiroshima-size nuclear shot , or bigger , to vaporize part of the advancing armor .",vaporize,0
that,kick,us,"`` It 's certainly not the kind of a supply shock that would kick us into a recession , '' says WEFA economist John Hagens .",kick,1
they,killed,angolans,The guerrillas claim they killed 35 Angolans and 15 Cubans .,kill,1
mmwec,absorb,million,He said that MMWEC will have to absorb only $ 4 million in additional annual costs now paid by the Vermont utilities .,absorb,0
it,touch,sectors,"`` If the dollar stays at about the same level , that means the Bank of Japan has some room not to raise the discount rate , '' he said , `` which means maybe it 's safe to touch the interest-rate sensitive sectors . ''",touch,1
concern,fill,vacancies,"Two executive vice presidents resigned from First Chicago Corp. to take other jobs , and the banking concern shifted some officers to fill the vacancies .",fill,0
advertisers,drag,heels,"`` Advertisers are expected to drag their heels a little bit -LRB- now -RRB- , arguing that , hey , there just are n't that many eyeballs out there . ''",drag,1
camden,roll,line,"In May , the Camden , N.J.-based soup maker will roll out a new line of 99-cent frozen budget breakfasts , as well as a microwaveable Belgian waffle that required a tricky technological feat to make it palatable .",roll,1
he,fix,juries,"The evidence showed he had helped fix two juries , and threatened to choke to death a woman witness against him .",fix,1
it,pours,paper,It pours toilet paper in parts of Michigan .,pour,1
us,plant,trees,"`` The new irrigation tunnel has allowed us to plant 6 , 000 willow trees and 600 apple trees and to earn money for the education of our children , '' she says , tears welling in her eyes .",plant,0
engineers,pump,water,"Two years ago , Utah state engineers came up with what seemed a logical solution to the seasonal flooding of the Great Salt Lake: Create yet another lake nearby , and pump the excess water into it .",pump,0
gamecock,kick,journalist,"The more today 's candidates compare themselves to the little gamecock who scattered S.O.B.s like shrapnel and threatened to kick a journalist in his most tender parts , the more controlled most of them have become .",kick,1
kimberlon,escape,packaging,"Kimberlon , the costume maker , tried generic packaging to escape the seasonal trap , even eliminating the word Halloween .",escape,1
company,dances,season,"Joffrey Ballet: The bicoastal company dances its first Manhattan season since the death of founder Robert Joffrey , whose own `` Remembrances '' pas de deux will be revived .",dance,0
that,dragged,stock,Failure to pull off the buy-back can only add to problems that have dragged Home Shopping 's stock down from a peak of $ 47 a share in January 1987 and left management with credibility problems .,drag,1
minimills,grab,markets,"Steelworkers will press for a share of the higher profits ; lower-cost minimills and emerging Third World producers will grab markets of integrated U.S. steelmakers , and alternative materials -- aluminum , ceramics and high-tech metal composites -- will wrest away business .",grab,1
government,pour,millions,"In light of all this , you might expect the government here to pour millions into science .",pour,1
modes,drag,man,"That 's pretty much it , plotwise , except for coming up with the various modes of transportation the bounty hunter cop has to use to drag the con man accountant across country .",drag,0
profits,flooded,foundations,"Smelling new money , U.S. non-profits flooded the foundations with proposals , says Hiroshi Kamura of the Japan Center for International Exchange .",flood,1
